FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2005,Madrid,V,A,0,0,0,1,4,2,0,0,7
11/03/2019,2005,Madrid,V,A1,0,0,0,0,1,0,0,0,1
11/03/2019,2005,Madrid,V,AM,0,0,59,46,23,19,8,6,161
11/03/2019,2005,Madrid,V,B,0,0,5.824,5.136,1.880,776,198,17,13831
11/03/2019,2005,Madrid,V,"B,A,A2",0,0,58,1.357,567,150,20,8,2160
11/03/2019,2005,Madrid,V,"B,A1",0,0,55,17,4,1,2,0,79
11/03/2019,2005,Madrid,V,"B,B+E",0,0,5,113,113,77,22,1,331
11/03/2019,2005,Madrid,V,"B,B+E,A,A2",0,0,1,28,10,16,3,0,58
11/03/2019,2005,Madrid,V,"B,B+E,A1",0,0,1,1,1,0,0,0,3
11/03/2019,2005,Madrid,V,BTP,0,0,6,79,102,22,0,0,209
11/03/2019,2005,Madrid,V,C,0,0,4,123,116,40,2,0,285
11/03/2019,2005,Madrid,V,"C,A,A2",0,0,1,91,52,19,1,0,164
11/03/2019,2005,Madrid,V,"C,A1",0,0,0,1,0,0,0,0,1
11/03/2019,2005,Madrid,V,"C,B+E",0,0,0,4,5,0,0,0,9
11/03/2019,2005,Madrid,V,"C,C+E",0,0,13,60,38,22,1,0,134
11/03/2019,2005,Madrid,V,"C,C+E,A,A2",0,0,1,23,15,10,0,0,49
11/03/2019,2005,Madrid,V,C1,0,0,0,0,1,0,0,0,1
11/03/2019,2005,Madrid,V,"C1,A,A2",0,0,1,7,5,1,0,0,14
11/03/2019,2005,Madrid,V,"C1,B+E",0,0,0,0,1,1,0,0,2
11/03/2019,2005,Madrid,V,"C1,C1+E",0,0,0,0,1,0,0,0,1
11/03/2019,2005,Madrid,V,"C1,C1+E,A,",0,0,0,2,1,0,0,0,3
11/03/2019,2005,Madrid,V,D ,0,0,0,61,71,26,1,0,159
11/03/2019,2005,Madrid,V,"D,A,A2",0,0,1,39,33,6,0,0,79
11/03/2019,2005,Madrid,V,"D,A1",0,0,0,1,1,0,0,0,2
11/03/2019,2005,Madrid,V,"D,B+E",0,0,0,2,2,0,0,0,4
11/03/2019,2005,Madrid,V,"D,B+E,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2005,Madrid,V,"D,D+E",0,0,0,40,38,14,0,0,92
11/03/2019,2005,Madrid,V,"D,D+E,A,A2",0,0,0,60,45,20,4,0,129
11/03/2019,2005,Madrid,V,D1,0,0,0,0,2,0,0,0,2
11/03/2019,2005,Madrid,V,"D1,D1+E,A,",0,0,0,0,2,0,0,0,2
11/03/2019,2005,Madrid,V,Otros,0,0,1.060,1.175,315,59,2,0,2611
11/03/2019,2006,Madrid,M,A,0,0,0,1,0,0,0,0,1
